temperature,flour,population_replicate,beetle_ID,weightingrams,
27.5,B,1,1,0.001,
27.5,B,1,2,0.00101,
27.5,B,1,3,0.00113,
27.5,B,1,4,0.0009,
27.5,B,1,5,0.001,
27.5,B,1,6,0.00128,
27.5,B,1,7,0.00101,
27.5,B,1,8,0.00103,
27.5,B,1,9,0.0012,
27.5,B,1,10,0.00119,
27.5,B,1,11,0.00119,
27.5,B,1,12,0.00112,
27.5,B,1,13,0.0012,
27.5,B,1,14,0.0011,
27.5,B,1,15,0.0011,
27.5,B,1,16,0.00092,
27.5,B,1,17,0.00096,
27.5,B,1,18,0.00108,
27.5,B,1,19,0.00089,
27.5,B,1,20,0.00101,
27.5,B,2,1,0.00114,
27.5,B,2,2,0.001,
27.5,B,2,3,0.00105,
27.5,B,2,4,0.00123,
27.5,B,2,5,0.00091,
27.5,B,2,6,0.001,
27.5,B,2,7,0.00071,
27.5,B,2,8,0.00102,
27.5,B,2,9,0.001,
27.5,B,2,10,0.00085,
27.5,B,2,11,0.00097,
27.5,B,2,12,0.00086,
27.5,B,2,13,0.0011,
27.5,B,2,14,0.00096,
27.5,B,2,15,0.00084,
27.5,B,2,16,0.00107,
27.5,B,2,17,0.00105,
27.5,B,2,18,0.00075,
27.5,B,2,19,0.00097,
27.5,B,2,20,0.00099,
27.5,B,3,1,0.00108,
27.5,B,3,2,0.00124,
27.5,B,3,3,0.00085,
27.5,B,3,4,0.00114,
27.5,B,3,5,0.00118,
27.5,B,3,6,0.00101,
27.5,B,3,7,0.00083,
27.5,B,3,8,0.0011,
27.5,B,3,9,0.00116,
27.5,B,3,10,0.0013,
27.5,B,3,11,0.00109,
27.5,B,3,12,0.00111,
27.5,B,3,13,0.00109,
27.5,B,3,14,0.00099,
27.5,B,3,15,0.001,
27.5,B,3,16,0.001,
27.5,B,3,17,0.00106,
27.5,B,3,18,0.00101,
27.5,B,3,19,0.0013,
27.5,B,3,20,0.00115,
27.5,G,1,1,0.001,
27.5,G,1,2,0.00121,
27.5,G,1,3,0.00097,dataentryerror
27.5,G,1,4,0.00109,
27.5,G,1,5,0.00113,
27.5,G,1,6,0.00086,
27.5,G,1,7,0.00095,
27.5,G,1,8,0.00118,
27.5,G,1,9,0.0011,
27.5,G,1,10,0.00099,
27.5,G,1,11,0.00126,
27.5,G,1,12,0.00115,
27.5,G,1,13,0.00117,
27.5,G,1,14,0.00093,dataentryerror
27.5,G,1,15,0.00141,
27.5,G,1,16,0.00121,
27.5,G,1,17,0.00089,
27.5,G,1,18,0.00114,
27.5,G,1,19,0.00103,
27.5,G,1,20,0.00126,
27.5,G,2,1,0.00119,
27.5,G,2,2,0.00115,
27.5,G,2,3,0.00094,
27.5,G,2,4,0.00107,
27.5,G,2,5,0.00102,
27.5,G,2,6,0.00092,
27.5,G,2,7,0.0011,
27.5,G,2,8,0.00106,
27.5,G,2,9,0.00104,
27.5,G,2,10,0.00072,
27.5,G,2,11,0.00095,
27.5,G,2,12,0.0011,
27.5,G,2,13,0.00099,
27.5,G,2,14,0.00092,
27.5,G,2,15,0.00117,
27.5,G,2,16,0.00109,
27.5,G,2,17,0.00085,
27.5,G,2,18,0.00111,
27.5,G,2,19,0.00094,
27.5,G,2,20,0.00088,
27.5,G,3,1,0.00092,
27.5,G,3,2,0.00116,
27.5,G,3,3,0.00134,
27.5,G,3,4,0.0011,
27.5,G,3,5,0.00103,
27.5,G,3,6,0.00105,
27.5,G,3,7,0.00127,
27.5,G,3,8,0.00097,
27.5,G,3,9,0.00133,
27.5,G,3,10,0.00136,
27.5,G,3,11,0.0011,
27.5,G,3,12,0.00121,
27.5,G,3,13,0.00108,
27.5,G,3,14,0.00124,
27.5,G,3,15,0.00102,
27.5,G,3,16,0.00115,
27.5,G,3,17,0.00127,
27.5,G,3,18,0.00131,
27.5,G,3,19,0.00097,
27.5,G,3,20,0.00108,
27.5,VG,1,1,0.00095,
27.5,VG,1,2,0.00104,
27.5,VG,1,3,0.001,
27.5,VG,1,4,0.00084,
27.5,VG,1,5,0.00108,
27.5,VG,1,6,0.00113,
27.5,VG,1,7,0.00109,
27.5,VG,1,8,0.00097,
27.5,VG,1,9,0.00117,
27.5,VG,1,10,0.0011,
27.5,VG,1,11,0.00091,
27.5,VG,1,12,0.00111,
27.5,VG,1,13,0.0012,
27.5,VG,1,14,0.00126,
27.5,VG,1,15,0.00116,
27.5,VG,1,16,0.00105,
27.5,VG,1,17,0.00114,
27.5,VG,1,18,0.00096,
27.5,VG,1,19,0.00093,
27.5,VG,1,20,0.00127,
27.5,VG,2,1,0.0009,
27.5,VG,2,2,0.00103,
27.5,VG,2,3,0.00103,
27.5,VG,2,4,0.00109,
27.5,VG,2,5,0.00098,
27.5,VG,2,6,0.00066,
27.5,VG,2,7,0.00117,
27.5,VG,2,8,0.00108,
27.5,VG,2,9,0.00129,
27.5,VG,2,10,0.00074,
27.5,VG,2,11,0.00121,
27.5,VG,2,12,0.00112,
27.5,VG,2,13,0.00104,
27.5,VG,2,14,0.00133,
27.5,VG,2,15,0.00102,
27.5,VG,2,16,0.001,
27.5,VG,2,17,0.00099,
27.5,VG,2,18,0.00103,
27.5,VG,2,19,0.00098,
27.5,VG,2,20,0.00108,
27.5,VG,3,1,0.00101,
27.5,VG,3,2,0.00122,
27.5,VG,3,3,0.00105,
27.5,VG,3,4,0.00108,
27.5,VG,3,5,0.00101,
27.5,VG,3,6,0.00106,
27.5,VG,3,7,0.00133,
27.5,VG,3,8,0.00096,
27.5,VG,3,9,0.00131,
27.5,VG,3,10,0.00109,
27.5,VG,3,11,0.00103,
27.5,VG,3,12,0.00114,
27.5,VG,3,13,0.00089,
27.5,VG,3,14,0.00112,
27.5,VG,3,15,0.00124,
27.5,VG,3,16,0.00104,
27.5,VG,3,17,0.00122,
27.5,VG,3,18,0.00111,
27.5,VG,3,19,0.00112,
27.5,VG,3,20,0.00139,
30,B,1,1,0.00096,
30,B,1,2,0.00075,
30,B,1,3,0.00094,
30,B,1,4,0.00104,
30,B,1,5,0.00106,
30,B,1,6,0.00103,
30,B,1,7,0.00101,
30,B,1,8,0.00094,
30,B,1,9,0.00101,
30,B,1,10,0.00115,
30,B,1,11,0.00079,
30,B,1,12,0.00112,
30,B,1,13,0.00087,
30,B,1,14,0.000089,
30,B,1,15,0.0009,
30,B,1,16,0.00088,
30,B,1,17,0.00098,
30,B,1,18,0.00107,
30,B,1,19,0.00092,
30,B,1,20,0.00104,
30,B,2,1,0.00105,
30,B,2,2,0.00094,
30,B,2,3,0.00122,
30,B,2,4,0.00122,
30,B,2,5,0.00094,
30,B,2,6,0.00121,
30,B,2,7,0.00118,
30,B,2,8,0.00101,
30,B,2,9,0.0009,
30,B,2,10,0.00109,
30,B,2,11,0.00107,
30,B,2,12,0.00109,
30,B,2,13,0.00113,
30,B,2,14,0.00075,
30,B,2,15,0.00109,
30,B,2,16,0.00102,
30,B,2,17,0.00108,
30,B,2,18,0.00107,
30,B,2,19,0.00096,
30,B,2,20,0.00113,
30,B,3,1,0.00097,
30,B,3,2,0.00122,
30,B,3,3,0.00086,
30,B,3,4,0.00103,
30,B,3,5,0.00087,
30,B,3,6,0.00096,
30,B,3,7,0.00101,
30,B,3,8,0.00113,
30,B,3,9,0.00069,
30,B,3,10,0.00104,
30,B,3,11,0.00099,
30,B,3,12,0.00078,
30,B,3,13,0.00109,
30,B,3,14,0.0009,
30,B,3,15,0.00101,
30,B,3,16,0.00088,
30,B,3,17,0.00086,
30,B,3,18,0.00092,
30,B,3,19,0.00092,
30,B,3,20,0.00114,
30,G,1,1,0.00091,
30,G,1,2,0.00098,
30,G,1,3,0.00096,
30,G,1,4,0.00096,
30,G,1,5,0.00094,
30,G,1,6,0.00078,
30,G,1,7,0.00095,
30,G,1,8,0.00107,
30,G,1,9,0.0009,
30,G,1,10,0.00091,
30,G,1,11,0.00107,
30,G,1,12,0.00083,
30,G,1,13,0.00087,
30,G,1,14,0.0007,
30,G,1,15,0.00098,
30,G,1,16,0.00086,
30,G,1,17,0.00078,
30,G,1,18,0.00064,
30,G,1,19,0.00079,
30,G,1,20,0.00114,
30,G,2,1,0.00104,
30,G,2,2,0.00098,
30,G,2,3,0.00131,
30,G,2,4,0.00103,
30,G,2,5,0.00108,
30,G,2,6,0.00119,
30,G,2,7,0.00099,
30,G,2,8,0.00111,
30,G,2,9,0.00094,
30,G,2,10,0.00095,
30,G,2,11,0.00097,
30,G,2,12,0.00111,
30,G,2,13,0.00092,
30,G,2,14,0.00097,
30,G,2,15,0.00109,
30,G,2,16,0.00101,
30,G,2,17,0.00096,
30,G,2,18,0.00115,
30,G,2,19,0.00103,
30,G,2,20,0.00094,
30,G,3,1,0.00108,
30,G,3,2,0.00104,
30,G,3,3,0.00096,
30,G,3,4,0.00073,
30,G,3,5,0.00101,
30,G,3,6,0.00087,
30,G,3,7,0.00091,
30,G,3,8,0.00123,
30,G,3,9,0.00095,
30,G,3,10,0.00109,
30,G,3,11,0.0011,
30,G,3,12,0.00104,
30,G,3,13,0.00098,
30,G,3,14,0.00099,
30,G,3,15,0.00099,
30,G,3,16,0.00093,
30,G,3,17,0.00096,
30,G,3,18,0.00098,
30,G,3,19,0.00107,
30,G,3,20,0.00126,
30,VG,1,1,0.00093,
30,VG,1,2,0.0009,
30,VG,1,3,0.00072,
30,VG,1,4,0.00096,
30,VG,1,5,0.00092,
30,VG,1,6,0.00088,
30,VG,1,7,0.00105,
30,VG,1,8,0.00089,
30,VG,1,9,0.001,
30,VG,1,10,0.00095,
30,VG,1,11,0.00094,
30,VG,1,12,0.00071,
30,VG,1,13,0.0011,
30,VG,1,14,0.00102,
30,VG,1,15,0.00103,
30,VG,1,16,0.00119,
30,VG,1,17,0.00105,
30,VG,1,18,0.00085,
30,VG,1,19,0.00096,
30,VG,1,20,0.00089,
30,VG,2,1,0.001,
30,VG,2,2,0.00106,
30,VG,2,3,0.00094,
30,VG,2,4,0.00093,
30,VG,2,5,0.00075,
30,VG,2,6,0.00115,
30,VG,2,7,0.00104,
30,VG,2,8,0.00088,
30,VG,2,9,0.00086,
30,VG,2,10,0.00114,
30,VG,2,11,0.00099,
30,VG,2,12,0.00096,
30,VG,2,13,0.00114,
30,VG,2,14,0.00091,
30,VG,2,15,0.00092,
30,VG,2,16,0.00108,
30,VG,2,17,0.00095,
30,VG,2,18,0.00094,
30,VG,2,19,0.00089,
30,VG,2,20,0.00126,
30,VG,3,1,0.00107,
30,VG,3,2,0.00108,
30,VG,3,3,0.00092,
30,VG,3,4,0.0011,
30,VG,3,5,0.00099,
30,VG,3,6,0.00109,
30,VG,3,7,0.00094,
30,VG,3,8,0.00086,
30,VG,3,9,0.00085,
30,VG,3,10,0.0011,
30,VG,3,11,0.00081,
30,VG,3,12,0.00091,
30,VG,3,13,0.00095,
30,VG,3,14,0.0008,
30,VG,3,15,0.00092,
30,VG,3,16,0.00109,
30,VG,3,17,0.00107,
30,VG,3,18,0.00093,
30,VG,3,19,0.00093,
30,VG,3,20,0.00119,
32.5,B,1,1,0.00112,
32.5,B,1,2,0.00123,
32.5,B,1,3,0.00093,
32.5,B,1,4,0.00111,
32.5,B,1,5,0.00102,
32.5,B,1,6,0.00101,
32.5,B,1,7,0.00114,
32.5,B,1,8,0.00114,
32.5,B,1,9,0.001,
32.5,B,1,10,0.00086,
32.5,B,1,11,0.00095,
32.5,B,1,12,0.00075,
32.5,B,1,13,0.001,
32.5,B,1,14,0.00108,
32.5,B,1,15,0.00087,
32.5,B,1,16,0.00105,
32.5,B,1,17,0.00101,
32.5,B,1,18,0.00091,
32.5,B,1,19,0.00098,
32.5,B,1,20,0.00104,
32.5,B,2,1,0.00089,
32.5,B,2,2,0.00091,
32.5,B,2,3,0.00084,
32.5,B,2,4,0.00099,
32.5,B,2,5,0.00075,
32.5,B,2,6,0.0006,
32.5,B,2,7,0.00066,
32.5,B,2,8,0.00096,
32.5,B,2,9,0.00091,
32.5,B,2,10,0.00096,
32.5,B,2,11,0.0011,
32.5,B,2,12,0.00081,
32.5,B,2,13,0.00073,
32.5,B,2,14,0.0009,
32.5,B,2,15,0.00084,
32.5,B,2,16,0.00112,
32.5,B,2,17,0.00071,
32.5,B,2,18,0.00092,
32.5,B,2,19,0.00076,
32.5,B,2,20,0.00087,
32.5,B,3,1,0.00102,
32.5,B,3,2,0.001,
32.5,B,3,3,0.00084,
32.5,B,3,4,0.00086,
32.5,B,3,5,0.00108,
32.5,B,3,6,0.00096,
32.5,B,3,7,0.00105,
32.5,B,3,8,0.00091,
32.5,B,3,9,0.00094,
32.5,B,3,10,0.0005,
32.5,B,3,11,0.00089,
32.5,B,3,12,0.00097,
32.5,B,3,13,0.00092,
32.5,B,3,14,0.0012,
32.5,B,3,15,0.00084,
32.5,B,3,16,0.00096,
32.5,B,3,17,0.00115,
32.5,B,3,18,0.00095,
32.5,B,3,19,0.00112,
32.5,B,3,20,0.00109,
32.5,G,1,1,0.00089,
32.5,G,1,2,0.00105,
32.5,G,1,3,0.00096,
32.5,G,1,4,0.00104,
32.5,G,1,5,0.00087,
32.5,G,1,6,0.00095,
32.5,G,1,7,0.00079,
32.5,G,1,8,0.00095,
32.5,G,1,9,0.00101,
32.5,G,1,10,0.00115,
32.5,G,1,11,0.00108,
32.5,G,1,12,0.001,
32.5,G,1,13,0.00125,
32.5,G,1,14,0.00095,
32.5,G,1,15,0.00094,
32.5,G,1,16,0.00117,
32.5,G,1,17,0.00108,
32.5,G,1,18,0.00096,
32.5,G,1,19,0.00103,
32.5,G,1,20,0.00095,
32.5,G,2,1,0.00108,
32.5,G,2,2,0.00064,
32.5,G,2,3,0.00099,
32.5,G,2,4,0.00105,
32.5,G,2,5,0.00061,
32.5,G,2,6,0.00107,
32.5,G,2,7,0.00104,
32.5,G,2,8,0.00063,
32.5,G,2,9,0.00055,
32.5,G,2,10,0.0008,
32.5,G,2,11,0.00098,
32.5,G,2,12,0.0008,
32.5,G,2,13,0.00089,
32.5,G,2,14,0.0008,
32.5,G,2,15,0.00103,
32.5,G,2,16,0.00099,
32.5,G,2,17,0.00076,
32.5,G,2,18,0.00125,
32.5,G,2,19,0.00092,
32.5,G,2,20,0.00097,
32.5,G,3,1,0.00095,
32.5,G,3,2,0.0011,
32.5,G,3,3,0.00099,
32.5,G,3,4,0.00101,
32.5,G,3,5,0.00087,
32.5,G,3,6,0.00098,
32.5,G,3,7,0.00101,
32.5,G,3,8,0.00109,
32.5,G,3,9,0.00107,
32.5,G,3,10,0.00091,dataentryerror
32.5,G,3,11,0.00094,
32.5,G,3,12,0.00087,
32.5,G,3,13,0.00097,
32.5,G,3,14,0.00103,
32.5,G,3,15,0.00109,
32.5,G,3,16,0.0011,
32.5,G,3,17,0.00098,
32.5,G,3,18,0.00105,
32.5,G,3,19,0.00096,
32.5,G,3,20,0.001,
32.5,VG,1,1,NA,lost
32.5,VG,1,2,NA,lost
32.5,VG,1,3,NA,lost
32.5,VG,1,4,NA,lost
32.5,VG,1,5,NA,lost
32.5,VG,1,6,NA,lost
32.5,VG,1,7,NA,lost
32.5,VG,1,8,NA,lost
32.5,VG,1,9,NA,lost
32.5,VG,1,10,NA,lost
32.5,VG,1,11,NA,lost
32.5,VG,1,12,NA,lost
32.5,VG,1,13,NA,lost
32.5,VG,1,14,NA,lost
32.5,VG,1,15,NA,lost
32.5,VG,1,16,NA,lost
32.5,VG,1,17,NA,lost
32.5,VG,1,18,NA,lost
32.5,VG,1,19,NA,lost
32.5,VG,1,20,NA,lost
32.5,VG,2,1,0.00106,
32.5,VG,2,2,0.00084,
32.5,VG,2,3,0.00053,
32.5,VG,2,4,0.00124,
32.5,VG,2,5,0.00081,
32.5,VG,2,6,0.00108,
32.5,VG,2,7,0.00086,
32.5,VG,2,8,0.00105,
32.5,VG,2,9,0.00104,
32.5,VG,2,10,0.0009,
32.5,VG,2,11,0.00081,
32.5,VG,2,12,0.00076,
32.5,VG,2,13,0.00096,
32.5,VG,2,14,0.00099,
32.5,VG,2,15,0.00111,
32.5,VG,2,16,0.00101,
32.5,VG,2,17,0.00087,
32.5,VG,2,18,0.00099,dataentryerror
32.5,VG,2,19,0.00073,
32.5,VG,2,20,0.00073,
32.5,VG,3,1,0.00092,
32.5,VG,3,2,0.00102,
32.5,VG,3,3,0.00094,
32.5,VG,3,4,0.00085,
32.5,VG,3,5,0.00104,
32.5,VG,3,6,0.00102,
32.5,VG,3,7,0.00101,
32.5,VG,3,8,0.00093,
32.5,VG,3,9,0.00102,
32.5,VG,3,10,0.00096,
32.5,VG,3,11,0.00095,
32.5,VG,3,12,0.00103,
32.5,VG,3,13,0.00071,
32.5,VG,3,14,0.00105,
32.5,VG,3,15,0.0008,
32.5,VG,3,16,0.00097,
32.5,VG,3,17,0.00105,
32.5,VG,3,18,0.00087,
32.5,VG,3,19,0.00112,
32.5,VG,3,20,0.00109,
35,B,1,1,0.00088,
35,B,1,2,0.00096,
35,B,1,3,0.00106,
35,B,1,4,0.00103,
35,B,1,5,0.00095,
35,B,1,6,0.00108,
35,B,1,7,0.001,
35,B,1,8,0.00122,
35,B,1,9,0.00103,
35,B,1,10,0.00092,
35,B,1,11,0.00085,
35,B,1,12,0.00092,
35,B,1,13,0.00096,
35,B,1,14,0.00098,
35,B,1,15,0.001,
35,B,1,16,0.0009,
35,B,1,17,0.001,
35,B,1,18,0.00106,
35,B,1,19,0.00095,
35,B,1,20,0.00092,
35,B,2,1,0.00099,
35,B,2,2,0.00078,
35,B,2,3,0.00095,
35,B,2,4,0.00075,
35,B,2,5,0.00081,
35,B,2,6,0.00105,
35,B,2,7,0.00081,
35,B,2,8,0.00091,
35,B,2,9,0.00075,
35,B,2,10,0.00088,
35,B,2,11,0.00098,
35,B,2,12,0.00079,
35,B,2,13,0.00105,
35,B,2,14,0.0011,
35,B,2,15,0.00089,
35,B,2,16,0.00076,
35,B,2,17,0.00099,
35,B,2,18,0.0009,
35,B,2,19,0.0012,
35,B,2,20,0.0009,
35,B,3,1,0.001,
35,B,3,2,0.0011,
35,B,3,3,0.00096,
35,B,3,4,0.00077,
35,B,3,5,0.00112,
35,B,3,6,0.0011,
35,B,3,7,0.00082,
35,B,3,8,0.00105,
35,B,3,9,0.00099,
35,B,3,10,0.00111,
35,B,3,11,0.00097,
35,B,3,12,0.00113,
35,B,3,13,0.00096,
35,B,3,14,0.00099,
35,B,3,15,0.0009,
35,B,3,16,0.00096,
35,B,3,17,0.00091,
35,B,3,18,0.00094,
35,B,3,19,0.00099,
35,B,3,20,0.00104,
35,G,1,1,0.00123,
35,G,1,2,0.00083,
35,G,1,3,0.0011,
35,G,1,4,0.00082,
35,G,1,5,0.00102,
35,G,1,6,0.00103,
35,G,1,7,0.00051,
35,G,1,8,0.00104,
35,G,1,9,0.00072,
35,G,1,10,0.00103,
35,G,1,11,0.00061,
35,G,1,12,0.00106,
35,G,1,13,0.0008,
35,G,1,14,0.00082,
35,G,1,15,0.00066,
35,G,1,16,0.00068,
35,G,1,17,0.00063,
35,G,1,18,0.00083,
35,G,1,19,NA,
35,G,1,20,NA,
35,G,2,1,0.0011,
35,G,2,2,0.001,
35,G,2,3,0.0011,
35,G,2,4,0.00105,
35,G,2,5,0.00097,
35,G,2,6,0.00108,
35,G,2,7,0.00107,
35,G,2,8,0.00109,
35,G,2,9,0.00105,
35,G,2,10,0.0009,
35,G,2,11,0.00109,
35,G,2,12,0.0011,
35,G,2,13,0.00104,
35,G,2,14,0.00114,
35,G,2,15,0.00087,
35,G,2,16,0.00111,
35,G,2,17,0.00112,
35,G,2,18,0.00116,
35,G,2,19,0.00095,
35,G,2,20,0.00102,
35,G,3,1,0.00114,
35,G,3,2,0.00085,
35,G,3,3,0.00114,
35,G,3,4,0.00112,
35,G,3,5,0.00116,
35,G,3,6,0.00095,
35,G,3,7,0.00102,
35,G,3,8,0.00087,
35,G,3,9,0.00111,
35,G,3,10,0.00136,
35,G,3,11,0.00088,
35,G,3,12,0.00112,
35,G,3,13,0.00107,
35,G,3,14,0.00115,
35,G,3,15,0.0012,
35,G,3,16,0.00112,
35,G,3,17,0.00076,
35,G,3,18,0.00097,
35,G,3,19,0.00119,
35,G,3,20,0.00103,
35,VG,1,1,0.00102,
35,VG,1,2,0.00078,
35,VG,1,3,0.00111,
35,VG,1,4,0.00111,
35,VG,1,5,0.0011,
35,VG,1,6,0.00094,
35,VG,1,7,0.00107,
35,VG,1,8,0.00104,
35,VG,1,9,0.00103,
35,VG,1,10,0.00096,
35,VG,1,11,0.00096,
35,VG,1,12,0.00105,
35,VG,1,13,0.00099,
35,VG,1,14,0.0012,
35,VG,1,15,0.00088,
35,VG,1,16,0.00099,
35,VG,1,17,0.0011,
35,VG,1,18,0.00068,
35,VG,1,19,0.00113,
35,VG,1,20,0.001,
35,VG,2,1,0.0009,
35,VG,2,2,0.00091,
35,VG,2,3,0.00101,
35,VG,2,4,0.00098,
35,VG,2,5,0.00092,
35,VG,2,6,0.00093,
35,VG,2,7,0.00089,
35,VG,2,8,0.0009,
35,VG,2,9,0.00094,
35,VG,2,10,0.00108,
35,VG,2,11,0.00076,
35,VG,2,12,0.00091,
35,VG,2,13,0.00113,
35,VG,2,14,0.00064,
35,VG,2,15,0.00114,
35,VG,2,16,0.00092,
35,VG,2,17,0.00104,
35,VG,2,18,0.00086,
35,VG,2,19,0.00112,
35,VG,2,20,0.00093,
35,VG,3,1,0.00068,
35,VG,3,2,0.00073,
35,VG,3,3,0.00074,
35,VG,3,4,0.0005,
35,VG,3,5,0.00061,
35,VG,3,6,0.00084,
35,VG,3,7,0.0009,
35,VG,3,8,0.00091,
35,VG,3,9,0.00075,
35,VG,3,10,0.00085,
35,VG,3,11,0.00059,
35,VG,3,12,0.00057,
35,VG,3,13,0.00078,
35,VG,3,14,0.00062,
35,VG,3,15,0.00061,
35,VG,3,16,0.00064,
35,VG,3,17,0.0007,
35,VG,3,18,0.00066,
35,VG,3,19,0.00108,
35,VG,3,20,0.00063,
founder,founder,founder,1,0.00093,
founder,founder,founder,2,0.00088,
founder,founder,founder,3,0.00091,
founder,founder,founder,4,0.00088,
founder,founder,founder,5,0.00098,
founder,founder,founder,6,0.00095,
founder,founder,founder,7,0.00089,
founder,founder,founder,8,0.00088,
founder,founder,founder,9,0.0009,
founder,founder,founder,10,0.00113,
founder,founder,founder,11,0.00115,
founder,founder,founder,12,0.00099,
founder,founder,founder,13,0.00086,
founder,founder,founder,14,0.001,
founder,founder,founder,15,0.00102,
founder,founder,founder,16,0.00115,
founder,founder,founder,17,0.00104,
founder,founder,founder,18,0.00085,
founder,founder,founder,19,0.00091,
founder,founder,founder,20,0.00108,
founder,founder,founder,21,0.00096,
founder,founder,founder,22,0.00095,
founder,founder,founder,23,0.00088,
founder,founder,founder,24,0.00094,
founder,founder,founder,25,0.00112,
